workbook_variant,source_sheet,source_row,section,field_label,field_name,field_value
example,Organization Intake,6,Organization details,Submission ID,submission_id,EX-CEO-001
example,Organization Intake,6,Organization details,Organization name,organization_name,Example Medical Center
example,Organization Intake,6,Organization details,Organization type,organization_type,Hospital
example,Organization Intake,7,Organization details,Facility / program name,facility_program_name,Care Transitions & Access Program
example,Organization Intake,7,Organization details,Primary service area / market,primary_service_area_market,Grand Rapids North Corridor
example,Organization Intake,7,Organization details,"Primary city, state",primary_city_state,"Grand Rapids, MI"
example,Organization Intake,8,Organization details,Primary contact name,primary_contact_name,Bilbo Baggins
example,Organization Intake,8,Organization details,Title,title,Director of Care Coordination
example,Organization Intake,8,Organization details,Email,email,bilbo.baggins@medicalcenterexample.org
example,Organization Intake,9,Organization details,Phone,phone,(616) 000-0000
example,Organization Intake,9,Organization details,Data period start,data_period_start,2026-01-01
example,Organization Intake,9,Organization details,Data period end,data_period_end,2026-03-31
example,Organization Intake,12,Commercial terms & service profile,Contract / payer name,contract_payer_name,Example Medical Center Direct
example,Organization Intake,12,Commercial terms & service profile,Payer type,payer_type,Hospital
example,Organization Intake,12,Commercial terms & service profile,Expected go-live timing,expected_go_live_timing,Q3 2026 pilot launch
example,Organization Intake,13,Commercial terms & service profile,Primary source of trips,primary_source_of_trips,Direct Facility
example,Organization Intake,13,Commercial terms & service profile,Default billing basis,default_billing_basis,Per Trip
example,Organization Intake,13,Commercial terms & service profile,Average payment term (days),average_payment_term_days,24-48 hours; same-day discharges as available
example,Organization Intake,14,Commercial terms & service profile,Trip scheduling lead time,trip_scheduling_lead_time,Yes
example,Organization Intake,14,Commercial terms & service profile,Billable no-show allowed?,billable_no_show_allowed,Yes
example,Organization Intake,14,Commercial terms & service profile,Billable late cancel?,billable_late_cancel,Yes
example,Organization Intake,15,Commercial terms & service profile,Ambulatory avg price / trip,ambulatory_avg_price_trip,62.0
example,Organization Intake,15,Commercial terms & service profile,Wheelchair avg price / trip,wheelchair_avg_price_trip,84.0
example,Organization Intake,15,Commercial terms & service profile,Stretcher Alt. avg price / trip,stretcher_alt_avg_price_trip,225.0
example,Organization Intake,16,Commercial terms & service profile,SecureCare avg price / trip,securecare_avg_price_trip,240.0
example,Organization Intake,16,Commercial terms & service profile,Other mode avg price / trip,other_mode_avg_price_trip,
example,Organization Intake,16,Commercial terms & service profile,Other mode description,other_mode_description,
example,Organization Intake,19,Known constraints / notes,Typical destinations / facilities served,typical_destinations_facilities_served,"Post-acute SNFs, dialysis centers, imaging, outpatient surgery, and behavioral health receiving facilities."
example,Organization Intake,20,Known constraints / notes,"Known access, hours, or handoff constraints",known_access_hours_or_handoff_constraints,Discharge peaks from 11 AM-6 PM; weekend demand is lighter; SecureCare trips require closed-loop handoff.
example,Organization Intake,21,Known constraints / notes,Additional comments,additional_comments,Illustrative example for CEO presentation. Fictional organization populated using the current template fields and realistic operating ranges.
example,Organization Intake,26,Auto-checks,Intake completion status,intake_completion_status,Complete core fields
example,Organization Intake,27,Auto-checks,Billable protection present?,billable_protection_present,Yes
example,Organization Intake,28,Auto-checks,Higher-acuity pricing entered?,higher_acuity_pricing_entered,Yes
